Cumulative sequencing depth,Fraction of target bases(%)
618,35.166183
619,34.925526
620,34.681786
621,34.435925
622,34.195461
623,33.949474
624,33.712284
625,33.465527
626,33.219860
627,32.978172
628,32.727428
629,32.487350
630,32.248688
631,32.005074
632,31.762171
633,31.517210
634,31.276682
635,31.032557
636,30.791065
637,30.550728
638,30.311485
639,30.074554
640,29.833963
641,29.602749
642,29.363892
643,29.123623
644,28.887203
645,28.658497
646,28.427992
647,28.201277
648,27.973211
649,27.739298
650,27.505516
651,27.276234
652,27.044827
653,26.817019
654,26.589468
655,26.362110
656,26.132631
657,25.903152
658,25.674381
659,25.447407
660,25.225834
661,25.006311
662,24.781460
663,24.564379
664,24.343447
665,24.122770
666,23.898367
667,23.683086
668,23.466778
669,23.257151
670,23.041292
671,22.834686
672,22.617477
673,22.400656
674,22.187237
675,21.970865
676,21.759312
677,21.543451
678,21.338964
679,21.129017
680,20.920225
681,20.708799
682,20.499109
683,20.288326
684,20.088015
685,19.883078
686,19.683794
687,19.486757
688,19.290108
689,19.093843
690,18.901949
691,18.706585
692,18.509933
693,18.317846
694,18.126270
695,17.936174
696,17.753401
697,17.565937
698,17.374300
699,17.183496
700,17.002457
701,16.820776
702,16.634790
703,16.460176
704,16.274706
705,16.096365
706,15.915007
707,15.733004
708,15.554728
709,15.380949
710,15.207362
711,15.039943
712,14.869827
713,14.705491
714,14.539742
715,14.375856
716,14.210558
717,14.053547
718,13.895379
719,13.732651
720,13.576281
721,13.413874
722,13.260974
723,13.109037
724,12.949006
725,12.796042
726,12.635433
727,12.479899
728,12.326936
729,12.172237
730,12.020944
731,11.873441
732,11.724460
733,11.581903
734,11.439475
735,11.292421
736,11.150828
737,11.010649
738,10.870533
739,10.735300
740,10.598461
741,10.461686
742,10.322920
743,10.191156
744,10.065689
745,9.935145
746,9.806980
747,9.681383
748,9.553411
749,9.430191
750,9.308963
751,9.188122
752,9.062011
753,8.940848
754,8.820519
755,8.706101
756,8.585002
757,8.471869
758,8.357002
759,8.243355
760,8.131250
761,8.015097
762,7.900037
763,7.795513
764,7.684243
765,7.577406
766,7.476158
767,7.371826
768,7.267173
769,7.163034
770,7.061529
771,6.956812
