Sequencing depth,Fraction of target bases(%),Number of target bases
798,0.076450,1190
799,0.075486,1175
800,0.073623,1146
801,0.071889,1119
802,0.077414,1205
803,0.075615,1177
804,0.070539,1098
805,0.066235,1031
806,0.069126,1076
807,0.068162,1061
808,0.066428,1034
809,0.069640,1084
810,0.068291,1063
811,0.065978,1027
812,0.064436,1003
813,0.064115,998
814,0.060646,944
815,0.063216,984
816,0.062638,975
817,0.060646,944
818,0.061802,962
819,0.059104,920
820,0.059104,920
821,0.058205,906
822,0.056599,881
823,0.060068,935
824,0.056663,882
825,0.055185,859
826,0.053194,828
827,0.056020,872
828,0.052616,819
829,0.051909,808
830,0.052744,821
831,0.048311,752
832,0.050881,792
833,0.052294,814
834,0.048697,758
835,0.044264,689
836,0.046962,731
837,0.048697,758
838,0.044649,695
839,0.043043,670
840,0.043557,678
841,0.042401,660
842,0.042401,660
843,0.040923,637
844,0.038932,606
845,0.038225,595
846,0.039510,615
847,0.039895,621
848,0.038867,605
849,0.038932,606
850,0.037518,584
851,0.035205,548
852,0.035013,545
853,0.034884,543
854,0.031287,487
855,0.036233,564
856,0.031929,497
857,0.034692,540
858,0.033214,517
859,0.030837,480
860,0.029231,455
861,0.030451,474
862,0.029488,459
863,0.027047,421
864,0.027047,421
865,0.025440,396
866,0.026404,411
867,0.025569,398
868,0.026725,416
869,0.024927,388
870,0.023128,360
871,0.021650,337
872,0.022999,358
873,0.020622,321
874,0.024734,385
875,0.021329,332
876,0.020751,323
877,0.020943,326
878,0.019916,310
879,0.018823,293
880,0.021265,331
881,0.019466,303
882,0.019659,306
883,0.017988,280
884,0.019016,296
885,0.015547,242
886,0.015290,238
887,0.017731,276
888,0.016703,260
889,0.015547,242
890,0.015483,241
891,0.014198,221
892,0.014648,228
893,0.013812,215
894,0.014648,228
895,0.012913,201
896,0.012913,201
897,0.011757,183
898,0.012335,192
899,0.012271,191
900,0.010600,165
901,0.010279,160
902,0.010857,169
903,0.010407,162
904,0.010022,156
905,0.010600,165
906,0.010215,159
907,0.009380,146
908,0.009508,148
909,0.008866,138
910,0.007709,120
911,0.008866,138
912,0.007131,111
913,0.008287,129
914,0.008544,133
915,0.007388,115
916,0.007838,122
917,0.006360,99
918,0.007388,115
919,0.007709,120
920,0.007773,121
921,0.005846,91
922,0.005332,83
923,0.006681,104
924,0.005782,90
925,0.005910,92
926,0.006103,95
927,0.005525,86
928,0.004176,65
929,0.005268,82
930,0.004626,72
931,0.003662,57
932,0.003662,57
933,0.004112,64
934,0.003341,52
