Sequencing depth,Fraction of target bases(%),Number of target bases
541,0.001349,21
542,0.001927,30
543,0.002120,33
544,0.001863,29
545,0.002184,34
546,0.001863,29
547,0.001542,24
548,0.002441,38
549,0.001992,31
550,0.002184,34
551,0.001992,31
552,0.001863,29
553,0.002762,43
554,0.002184,34
555,0.001927,30
556,0.002762,43
557,0.002570,40
558,0.001542,24
559,0.002184,34
560,0.002313,36
561,0.002184,34
562,0.002313,36
563,0.002891,45
564,0.002570,40
565,0.002313,36
566,0.002441,38
567,0.002249,35
568,0.002184,34
569,0.002249,35
570,0.003084,48
571,0.002634,41
572,0.002441,38
573,0.002249,35
574,0.001927,30
575,0.001863,29
576,0.002506,39
577,0.002506,39
578,0.002313,36
579,0.002762,43
580,0.002313,36
581,0.002955,46
582,0.002506,39
583,0.003084,48
584,0.002955,46
585,0.003084,48
586,0.003019,47
587,0.003790,59
588,0.002506,39
589,0.003341,52
590,0.003790,59
591,0.003084,48
592,0.003533,55
593,0.002506,39
594,0.002249,35
595,0.002955,46
596,0.002377,37
597,0.003662,57
598,0.001992,31
599,0.002955,46
600,0.003019,47
601,0.002313,36
602,0.003598,56
603,0.003212,50
604,0.003533,55
605,0.002377,37
606,0.002506,39
607,0.002313,36
608,0.003533,55
609,0.002891,45
610,0.003726,58
611,0.003405,53
612,0.002441,38
613,0.003019,47
614,0.003212,50
615,0.002506,39
616,0.002955,46
617,0.003084,48
618,0.002313,36
619,0.003212,50
620,0.003983,62
621,0.002955,46
622,0.003405,53
623,0.002955,46
624,0.003533,55
625,0.003983,62
626,0.003662,57
627,0.003148,49
628,0.003212,50
629,0.003148,49
630,0.003212,50
631,0.003405,53
632,0.002891,45
633,0.003983,62
634,0.003662,57
635,0.003790,59
636,0.003341,52
637,0.003533,55
638,0.003341,52
639,0.003276,51
640,0.003469,54
641,0.004176,65
642,0.004112,64
643,0.002955,46
644,0.003469,54
645,0.003790,59
646,0.003662,57
647,0.004497,70
648,0.003212,50
649,0.003019,47
650,0.004497,70
651,0.003019,47
652,0.003405,53
653,0.003790,59
654,0.004176,65
655,0.004561,71
656,0.003662,57
657,0.004561,71
658,0.003341,52
659,0.003790,59
660,0.003662,57
661,0.003533,55
662,0.004369,68
663,0.004240,66
664,0.004176,65
665,0.004754,74
666,0.004433,69
667,0.003919,61
668,0.004304,67
669,0.004561,71
670,0.004561,71
671,0.003212,50
672,0.004176,65
673,0.004240,66
674,0.004947,77
675,0.004561,71
676,0.004561,71
677,0.004561,71
678,0.003983,62
679,0.004047,63
680,0.005332,83
681,0.004304,67
682,0.003726,58
683,0.006360,99
684,0.005075,79
685,0.005268,82
686,0.005910,92
687,0.005396,84
688,0.004433,69
689,0.004818,75
690,0.004304,67
691,0.005139,80
692,0.004626,72
693,0.004561,71
694,0.005525,86
695,0.005396,84
696,0.004176,65
697,0.005525,86
698,0.004754,74
699,0.003983,62
700,0.004754,74
701,0.004883,76
702,0.004883,76
703,0.005461,85
704,0.006103,95
705,0.005268,82
706,0.005461,85
707,0.004690,73
708,0.004883,76
709,0.005461,85
710,0.005653,88
711,0.005332,83
712,0.006232,97
713,0.006232,97
714,0.004304,67
715,0.006232,97
716,0.005204,81
717,0.004947,77
718,0.004818,75
719,0.005718,89
720,0.005461,85
721,0.005975,93
722,0.006553,102
723,0.006489,101
724,0.005461,85
725,0.005975,93
726,0.005461,85
727,0.005653,88
728,0.004754,74
729,0.004433,69
730,0.005332,83
731,0.005204,81
732,0.005653,88
733,0.005461,85
734,0.006232,97
735,0.007067,110
736,0.005718,89
737,0.005782,90
738,0.006167,96
739,0.005718,89
740,0.005782,90
741,0.006681,104
742,0.005332,83
743,0.005525,86
744,0.005139,80
745,0.006167,96
746,0.005718,89
747,0.006424,100
748,0.006296,98
749,0.006103,95
750,0.006617,103
751,0.006553,102
752,0.006617,103
753,0.006553,102
754,0.005846,91
755,0.006424,100
756,0.006360,99
757,0.006232,97
758,0.005653,88
759,0.006039,94
