Cycle,R1Counts,R2Counts,R1_UnmCounts,R1_UnmRate,R1_SclipCounts,R1_ScRate,R1_InsertCounts,R1_InsRate,R1_SnvCounts,R1_SnvRate,R1_TotalMisCounts,R1_TotalRate,R2_UnmCounts,R2_UnmRate,R2_SclipCounts,R2_ScRate,R2_InsertCounts,R2_InsRate,R2_SnvCounts,R2_SnvRate,R2_TotalMisCounts,R2_TotalRate
61,10912257,10912257,2050,0.000188,63627,0.005831,525,0.000048,39965,0.003662,106167,0.009729,68636,0.006290,119562,0.010957,570,0.000052,58315,0.005344,247083,0.022643
62,10912257,10912257,2050,0.000188,66946,0.006135,504,0.000046,40736,0.003733,110236,0.010102,68636,0.006290,125836,0.011532,467,0.000043,58299,0.005343,253238,0.023207
63,10912257,10912257,2050,0.000188,69933,0.006409,438,0.000040,42138,0.003862,114559,0.010498,68636,0.006290,131642,0.012064,437,0.000040,58414,0.005353,259129,0.023747
64,10912257,10912257,2050,0.000188,72710,0.006663,442,0.000041,41654,0.003817,116856,0.010709,68636,0.006290,136953,0.012550,420,0.000038,58782,0.005387,264791,0.024265
65,10912257,10912257,2050,0.000188,75059,0.006878,411,0.000038,41490,0.003802,119010,0.010906,68636,0.006290,141682,0.012984,404,0.000037,60053,0.005503,270775,0.024814
66,10912257,10912257,2050,0.000188,81849,0.007501,362,0.000033,37828,0.003467,122089,0.011188,68636,0.006290,154701,0.014177,377,0.000035,51873,0.004754,275587,0.025255
67,10912257,10912257,2050,0.000188,87259,0.007996,370,0.000034,39804,0.003648,129483,0.011866,68636,0.006290,165418,0.015159,365,0.000033,53809,0.004931,288228,0.026413
68,10912257,10912257,2050,0.000188,91673,0.008401,148,0.000014,40997,0.003757,134868,0.012359,68636,0.006290,174537,0.015995,135,0.000012,55829,0.005116,299137,0.027413
69,10912257,10912257,2050,0.000188,94899,0.008697,154,0.000014,41722,0.003823,138825,0.012722,68636,0.006290,181400,0.016624,157,0.000014,56902,0.005215,307095,0.028142
70,10912257,10912257,2050,0.000188,95599,0.008761,204,0.000019,43501,0.003986,141354,0.012954,68636,0.006290,184347,0.016894,200,0.000018,59487,0.005451,312670,0.028653
