Cumulative sequencing depth,Fraction of target bases(%)
808,97.755844
809,97.748711
810,97.741966
811,97.733101
812,97.724876
813,97.715691
814,97.709007
815,97.700790
816,97.693336
817,97.686714
818,97.680870
819,97.673546
820,97.666153
821,97.658257
822,97.650612
823,97.643097
824,97.634872
825,97.627167
826,97.618813
827,97.612000
828,97.604225
829,97.596130
830,97.586945
831,97.578468
832,97.570694
833,97.563240
834,97.555275
835,97.546021
836,97.536453
837,97.527779
838,97.519684
839,97.511711
840,97.503815
841,97.494820
842,97.485954
843,97.475548
844,97.467583
845,97.460258
846,97.453186
847,97.443619
848,97.434433
849,97.426468
850,97.418304
851,97.409889
852,97.401154
853,97.392738
854,97.383484
855,97.375778
856,97.367043
857,97.358429
858,97.351425
859,97.342949
860,97.334335
861,97.326370
862,97.317444
863,97.309288
864,97.300682
865,97.291687
866,97.282562
867,97.273888
868,97.264252
869,97.255775
870,97.246780
871,97.237785
872,97.229042
873,97.218575
874,97.208748
875,97.199944
876,97.191200
877,97.182404
878,97.173599
879,97.164482
880,97.155998
881,97.147522
882,97.138718
883,97.129532
884,97.120598
885,97.109550
886,97.100815
887,97.090218
888,97.080452
889,97.071777
890,97.060532
891,97.049545
892,97.040230
893,97.029373
894,97.019615
895,97.009262
896,96.999184
897,96.990059
898,96.979393
899,96.969116
900,96.959412
901,96.949074
902,96.939560
903,96.930115
904,96.921509
905,96.911934
906,96.900764
907,96.891769
908,96.881363
909,96.871399
910,96.861183
911,96.850136
912,96.842171
913,96.831505
914,96.822060
915,96.811005
916,96.800476
917,96.792061
918,96.781975
919,96.772728
920,96.762764
921,96.752617
922,96.742783
923,96.731865
924,96.721390
925,96.712074
926,96.703148
927,96.694534
928,96.684128
929,96.673080
930,96.662354
931,96.651688
932,96.641342
933,96.631706
934,96.622009
935,96.611923
936,96.601959
937,96.590652
938,96.580437
939,96.569328
940,96.559753
941,96.549286
942,96.537468
943,96.527763
944,96.517029
945,96.505981
946,96.496605
947,96.486389
948,96.476494
949,96.465897
950,96.452980
951,96.441864
952,96.430496
953,96.419891
954,96.409164
955,96.397858
956,96.385719
957,96.374863
958,96.364067
959,96.352180
960,96.339653
961,96.329247
962,96.318520
963,96.307281
964,96.297195
965,96.285950
966,96.274582
967,96.263397
968,96.251968
969,96.241493
970,96.229095
971,96.216698
972,96.203972
973,96.193306
974,96.180977
975,96.167870
976,96.154312
977,96.141655
978,96.127975
979,96.116028
980,96.105484
981,96.092316
982,96.078316
983,96.064568
984,96.051971
985,96.038673
986,96.024155
987,96.010216
988,95.999741
989,95.987534
990,95.974556
991,95.961197
992,95.949051
993,95.935051
994,95.923485
995,95.911598
996,95.898689
997,95.884743
998,95.870743
999,95.858086
1000,95.844978
1001,95.832710
1002,95.818260
1003,95.806755
1004,95.792809
1005,95.779068
1006,95.764740
1007,95.750282
1008,95.735252
1009,95.721886
1010,95.709038
1011,95.695358
1012,95.681221
1013,95.667732
1014,95.653664
1015,95.640625
1016,95.626549
1017,95.612289
1018,95.597771
1019,95.582291
1020,95.568413
1021,95.553764
1022,95.539886
1023,95.525108
1024,95.510468
1025,95.495689
1026,95.483093
1027,95.468193
1028,95.453224
1029,95.438965
1030,95.425468
1031,95.412041
1032,95.398483
1033,95.383331
1034,95.368484
1035,95.355957
1036,95.342468
1037,95.328911
1038,95.314262
1039,95.299812
1040,95.285484
1041,95.269356
1042,95.257019
1043,95.241608
1044,95.228889
1045,95.216225
1046,95.202415
1047,95.188988
1048,95.175949
1049,95.161171
1050,95.146271
1051,95.132195
1052,95.117096
1053,95.102966
1054,95.088646
1055,95.074760
1056,95.060440
1057,95.046242
1058,95.030693
1059,95.015923
1060,95.000687
1061,94.985657
1062,94.968887
1063,94.954559
1064,94.941452
1065,94.927711
1066,94.913383
1067,94.896545
1068,94.882614
1069,94.866486
1070,94.851646
1071,94.836678
1072,94.823509
1073,94.807449
1074,94.792603
1075,94.776932
1076,94.762352
1077,94.746735
1078,94.731956
1079,94.716606
1080,94.699516
1081,94.684738
1082,94.670090
1083,94.654869
1084,94.639572
1085,94.623131
1086,94.607330
1087,94.591843
1088,94.576492
1089,94.560303
1090,94.546295
1091,94.530815
1092,94.514687
1093,94.497017
1094,94.479355
1095,94.464066
1096,94.446785
1097,94.430016
1098,94.413696
1099,94.399300
1100,94.382668
1101,94.365387
1102,94.349068
1103,94.332558
1104,94.315216
1105,94.298637
1106,94.283669
1107,94.267097
1108,94.251610
1109,94.235352
1110,94.218788
1111,94.201431
1112,94.184341
1113,94.168289
1114,94.151131
1115,94.134430
1116,94.117340
1117,94.100571
1118,94.084190
1119,94.065628
1120,94.048019
1121,94.031319
1122,94.013588
1123,93.997459
1124,93.979858
1125,93.965790
1126,93.949471
1127,93.934631
1128,93.917099
1129,93.900772
1130,93.882980
1131,93.867371
1132,93.850990
1133,93.833321
1134,93.817001
1135,93.798431
1136,93.782310
1137,93.763680
