Cycle,R1Counts,R2Counts,R1_UnmCounts,R1_UnmRate,R1_SclipCounts,R1_ScRate,R1_InsertCounts,R1_InsRate,R1_SnvCounts,R1_SnvRate,R1_TotalMisCounts,R1_TotalRate,R2_UnmCounts,R2_UnmRate,R2_SclipCounts,R2_ScRate,R2_InsertCounts,R2_InsRate,R2_SnvCounts,R2_SnvRate,R2_TotalMisCounts,R2_TotalRate
53,89032048,89032048,469536,0.005274,742174,0.008336,9129,0.000103,425217,0.004776,1646056,0.018488,132519,0.001488,564439,0.006340,9823,0.000110,372713,0.004186,1079494,0.012125
54,89032048,89032048,469536,0.005274,773986,0.008693,8758,0.000098,429933,0.004829,1682213,0.018894,132519,0.001488,589806,0.006625,9485,0.000107,373330,0.004193,1105140,0.012413
55,89032048,89032048,469536,0.005274,804665,0.009038,8546,0.000096,432408,0.004857,1715155,0.019264,132519,0.001488,614577,0.006903,9039,0.000102,376200,0.004225,1132335,0.012718
56,89032048,89032048,469536,0.005274,843140,0.009470,8057,0.000090,425501,0.004779,1746234,0.019614,132519,0.001488,645384,0.007249,8686,0.000098,373208,0.004192,1159797,0.013027
57,89032048,89032048,469536,0.005274,880638,0.009891,7444,0.000084,425863,0.004783,1783481,0.020032,132519,0.001488,675400,0.007586,8419,0.000095,375355,0.004216,1191693,0.013385
58,89032048,89032048,469536,0.005274,918042,0.010311,6710,0.000075,430605,0.004837,1824893,0.020497,132519,0.001488,705386,0.007923,7999,0.000090,382846,0.004300,1228750,0.013801
59,89032048,89032048,469536,0.005274,955410,0.010731,6550,0.000074,434135,0.004876,1865631,0.020955,132519,0.001488,735283,0.008259,7477,0.000084,384399,0.004318,1259678,0.014149
60,89032048,89032048,469536,0.005274,990802,0.011129,5960,0.000067,435237,0.004889,1901535,0.021358,132519,0.001488,763638,0.008577,6661,0.000075,384704,0.004321,1287522,0.014461
61,89032048,89032048,469536,0.005274,1042965,0.011714,5466,0.000061,421360,0.004733,1939327,0.021782,132519,0.001488,805571,0.009048,6353,0.000071,372895,0.004188,1317338,0.014796
62,89032048,89032048,469536,0.005274,1092130,0.012267,4872,0.000055,420035,0.004718,1986573,0.022313,132519,0.001488,845866,0.009501,5698,0.000064,374121,0.004202,1358204,0.015255
63,89032048,89032048,469536,0.005274,1140057,0.012805,4062,0.000046,426124,0.004786,2039779,0.022911,132519,0.001488,885230,0.009943,4860,0.000055,377683,0.004242,1400292,0.015728
64,89032048,89032048,469536,0.005274,1187829,0.013342,3629,0.000041,427107,0.004797,2088101,0.023453,132519,0.001488,923859,0.010377,4338,0.000049,377716,0.004242,1438432,0.016156
65,89032048,89032048,469536,0.005274,1244697,0.013980,3411,0.000038,429801,0.004827,2147445,0.024120,132519,0.001488,975019,0.010951,4116,0.000046,383835,0.004311,1495489,0.016797
66,89032048,89032048,469536,0.005274,1369285,0.015380,2586,0.000029,384331,0.004317,2225738,0.024999,132519,0.001488,1087486,0.012215,3177,0.000036,343870,0.003862,1567052,0.017601
67,89032048,89032048,469536,0.005274,1456233,0.016356,2338,0.000026,488001,0.005481,2416108,0.027138,132519,0.001488,1160875,0.013039,3000,0.000034,464995,0.005223,1761389,0.019784
68,89032048,89032048,469536,0.005274,1536764,0.017261,220,0.000002,817386,0.009181,2823906,0.031718,132519,0.001488,1229895,0.013814,482,0.000005,848760,0.009533,2211656,0.024841
69,89032048,89032048,469536,0.005274,1619789,0.018193,185,0.000002,1992318,0.022378,4081828,0.045847,132519,0.001488,1304801,0.014655,545,0.000006,2214184,0.024870,3652049,0.041019
70,89032048,89032048,469536,0.005274,1663531,0.018685,182,0.000002,6013939,0.067548,8147188,0.091508,132519,0.001488,1344505,0.015101,792,0.000009,6802200,0.076402,8280016,0.093000
